company_name,Annual Sales:,Company Type:,Corporate Family:,Corporate Highlights,D-U-N-S Number,D-U-N-S Number:,Domestic Ultimate D-U-N-S Number,EIN,Employees:,Fax:,Fiscal Year End:,Franchise,Home-Based Business,Import/Export Status,Incorporation Date,Industry:,Key ID Number:,LEI Number:,Manufacturer,Minority Owned,Owns/Rents,Parent D-U-N-S Number,Parent:,Plant/Facility Size (sq,Prescreen Score,Reporting Currency:,State Of Incorporation,Tel:,Total Assets:,Tradestyle,Ultimate Parent D-U-N-S Number,Ultimate Parent:,Women Owned,_id,address,contact,website
"Red River Consulting Services, Inc.",6M,Private Subsidiary,10 Companies,, 129097635,12-909-7635, 933678708, 943302861,44 (This Site) 45 (All Sites),,,,,, 2017,Computer Programming,82515456,,,,, 933678708,"Red River Computer Co., Inc.","{u' ft': {u')': u' 3,056'}}",,USD, California,916-383-9005,528k,, 933678708,,,5aac99ed9f9f5d3e6a0eacd1,"455 Capitol Mall Ste 701
Sacramento, California, 95814-4433
United States","[[{u'position': u'Chief Executive Officer-President at Red River Consulting Services, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-383-9005', u'name': u'Martin R Mcgartland', u'location': u'Sacramento, California, United States'}], [{u'name': u'Veronica Westlund', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'General Manager at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' vwestlund@natomatech.com'}], [{u'name': u'Mark Fellows', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Executive Officer at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' m.fellows@natomatech.com'}], [{u'name': u'Jeff Drewes', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Chief Technology Officer at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' jdrewes@natomatech.com'}], [{u'position': u'Chief Entrpse Arch at Red River Consulting Services, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-383-9005', u'name': u'Thomas Ramirez', u'location': u'Sacramento, California, United States'}], [{u'name': u'Wyatt Dietrich', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Vice President at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' wdietrich@natomatech.com'}], [{u'name': u'Chuck Lott', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Vice President at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' lott@natomatech.com'}], [{u'name': u'Laura Ammendolia', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Vice President Administration at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' lammendolia@natomatech.com'}], [{u'name': u'Scott Gregory', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Vice President of Business Development at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' sgregory@natomatech.com'}], [{u'name': u'Jason March', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Vice President of Federal Practice at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' jmarch@natomatech.com'}], [{u'name': u'Amanda Radmand', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Director Administration at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' aradmand@natomatech.com'}], [{u'name': u'Tina Polley', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Business Development Director at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' tpolley@natomatech.com'}], [{u'name': u'Roger Salow', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Director, Federal Business Development at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' salow@natomatech.com'}], [{u'name': u'Steven Nguyen', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Director of Resource Development at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' snguyen@natomatech.com'}], [{u'name': u'Marianne Kennedy', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Senior Project Manager at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' mkennedy@natomatech.com'}], [{u'name': u'Julie Lovett', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Senior Project Manager at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' jlovett@natomatech.com'}], [{u'position': u'Programmer at Red River Consulting Services, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-383-9005', u'name': u'Katrina Templeton', u'location': u'Sacramento, California, United States'}], [{u'name': u'Amanda Quarry', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Project Control Analyst at Red River Consulting Services, Inc.', u'Main': u' 916-383-9005', u'Email': u' aquarry@natomatech.com'}]]",www.natomatech.com
"Redtail Technology, Inc.",7.3M,Private Independent,,, 555842488,55-584-2488,,,41 (This Site) 41 (All Sites),,,,,, 2003,Computer Programming,138551324,,,, Rents,,,"{u' ft': {u')': u' 4,588'}}",,USD, California,916-669-1802,11M,,,,,5aac9a1e9f9f5d3e6a0eacd2,"3131 Fite Cir
Sacramento, California, 95827-1801
United States","[[{u'position': u'Chief Operating Officer at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Andrew Hernandez', u'location': u'Sacramento, California, United States'}], [{u'position': u'Executive Assistant To Brian Mclaughlin Chief Officer at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Melanie Figler', u'location': u'Sacramento, California, United States'}], [{u'position': u'Director of Sales at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'David Mehlhorn', u'location': u'Sacramento, California, United States'}], [{u'position': u'Human Resources Manager at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Krysta Malonson', u'location': u'Sacramento, California, United States'}], [{u'position': u'Customer Service Manager at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Allison Hawkins', u'location': u'Sacramento, California, United States'}], [{u'name': u'Ryan Oakes', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Information Technology Supervisor at Redtail Technology, Inc.', u'Main': u' 916-669-1802', u'Email': u' ryanoakes@redtailtechnology.com'}], [{u'position': u'Data Transitions Manager at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Jeff Ranta', u'location': u'Sacramento, California, United States'}], [{u'name': u'Bryan Lepage', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Billing Clerk at Redtail Technology, Inc.', u'Main': u' 916-669-1802', u'Email': u' bryan@redtailtechnology.com'}], [{u'position': u'Customer Service Technical Support at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Russell Paris', u'location': u'Sacramento, California, United States'}], [{u'position': u'Sales Advisor at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Becca Andersen', u'location': u'Sacramento, California, United States'}], [{u'position': u'Technical Support at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Lance Barkley', u'location': u'Sacramento, California, United States'}], [{u'position': u'Sales Advisor at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Tony Donato', u'location': u'Sacramento, California, United States'}], [{u'position': u'Customer Experience Specialist at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Kala Greeson', u'location': u'Sacramento, California, United States'}], [{u'position': u'Customer Experience Specialist at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Hayley Mandrup', u'location': u'Sacramento, California, United States'}], [{u'name': u'Tari Mcmullin', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Customer Experience Specialist at Redtail Technology, Inc.', u'Main': u' 916-669-1802', u'Email': u' tari@redtailtechnology.com'}], [{u'position': u'Sales Advisor at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Seth Slaughter', u'location': u'Sacramento, California, United States'}], [{u'position': u'Business Process Analyst at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Tara Whittaker', u'location': u'Sacramento, California, United States'}], [{u'position': u'Graphic Designer at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Susan Webb', u'location': u'Sacramento, California, United States'}], [{u'position': u'Data Analyst at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Shizhen Gu', u'location': u'Sacramento, California, United States'}], [{u'position': u'Systems Analyst at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Jason Kelley', u'location': u'Sacramento, California, United States'}], [{u'name': u'Eric Meek', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Systems Analyst at Redtail Technology, Inc.', u'Main': u' 916-669-1802', u'Email': u' eric@redtailtechnology.com'}], [{u'position': u'Data analyst at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Charles Muthaka', u'location': u'Sacramento, California, United States'}], [{u'position': u'Software Developer at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Warsama Gabriel', u'location': u'Sacramento, California, United States'}], [{u'name': u'Keith Lauher', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Software Engineer at Redtail Technology, Inc.', u'Main': u' 916-669-1802', u'Email': u' keith@redtailtechnology.com'}], [{u'position': u'Software Engineer at Redtail Technology, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-669-1802', u'name': u'Jason Mulcahy', u'location': u'Sacramento, California, United States'}]]",www.redtailtechnology.com
Folio Dynamix,8.6M,Private Independent,,, 831029223,83-102-9223,,,13 (This Site) 35 (All Sites),,,,,, 2009,Investment Services,45226554,,,,,,,"{u' ft': {u')': u' 5,171'}}",,USD,,916-288-6400,,,,,,5aac9a519f9f5d3e6a0eacd3,"2399 Gateway Oaks Dr Ste 200
Sacramento, California, 95833-4232
United States","[[{u'position': u'Vice President, Account Executive at Folio Dynamix', u'industry': u'Investment Services', u'Main': u' 916-288-6400', u'name': u'Jim Godsey', u'location': u'Sacramento, California, United States'}]]",
"Fynbosys, Inc.",2.1M,Private Independent,,, 078781602,07-878-1602,,,35 (This Site) 35 (All Sites),,,,,, 2011,Computer Programming,176947360,,,,,,,"{u' ft': {u')': u' 6,590'}}",,USD, California,916-776-6010,,,,,,5aac9a689f9f5d3e6a0eacd4,"4208 N Freeway Blvd Ste 106
Sacramento, California, 95834-1299
United States","[[{u'position': u'BRANCH MANAGER at Fynbosys, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-776-6010', u'name': u'John E Burgoyne', u'location': u'Sacramento, California, United States'}], [{u'position': u'Senior Software Engineer at Fynbosys, Inc.', u'industry': u'Computer Programming', u'Main': u' 916-776-6010', u'name': u'Karthy Jayaraman', u'location': u'Sacramento, California, United States'}]]",www.fynbosys.com
"Metrolist Services, Inc.",11M,Private Independent,,, 181153578,18-115-3578,, 680085631,28 (This Site) 28 (All Sites),916-922-1835,31-Dec-2016,,,, 1995,Internet and Web Services,205320163,,,,,,,"{u' ft': {u')': u' 7,898'}}",,USD, California,916-922-7584,10M,,,,,5aac9a839f9f5d3e6a0eacd5,"1164 National Dr Ste 60
Sacramento, California, 95834-1925
United States",,www.metrolist.net
"Confi Chek, Inc",32M,Private Independent,,, 859038655,85-903-8655,, 680243930,25 (This Site) 25 (All Sites),,,,,, 1988,Internet and Web Services,196740913,,,, Owns,,,"{u' ft': {u')': u' 6,000'}}",,USD, California,800-718-8997,,,,,,5aac9a9c9f9f5d3e6a0eacd6,"1915 21St St
Sacramento, California, 95811-6813
United States","[[{u'position': u'Administrator at Confi Chek, Inc', u'industry': u'Internet and Web Services', u'Main': u' 800-718-8997', u'name': u'Robenya Davidoff', u'location': u'Sacramento, California, United States'}], [{u'position': u'Hadoop Engineer at Confi Chek, Inc', u'industry': u'Internet and Web Services', u'Main': u' 800-718-8997', u'name': u'Brook Mesfin', u'location': u'Sacramento, California, United States'}]]",
Clas Information Services,2.2M,Private Independent,,, 014794996,01-479-4996,,,25 (This Site) 25 (All Sites),,,,,, 2010,Internet and Web Services,45659530,,,,,,,"{u' ft': {u')': u' 5,617'}}",,USD, California,916-564-1678,,,,,,5aac9ab99f9f5d3e6a0eacd7,"2020 Hurley Way Ste 350
Sacramento, California, 95825-3214
United States","[[{u'position': u'Service Department Manager at Clas Information Services', u'industry': u'Internet and Web Services', u'Main': u' 916-564-1678', u'name': u'Sandi Larsen', u'location': u'Sacramento, California, United States'}]]",www.clasinfo.com
Zibox Corporation,404k,Private Independent,,, 080945008,08-094-5008,,,22 (This Site) 22 (All Sites),,,,,, 2016,Computer Programming,275710464,,,,,,,"{u' ft': {u')': u' 5,523'}}",,USD,,916-900-8000,,,,,,5aac9ad49f9f5d3e6a0eacd8,"2233 Fulton Ave
Sacramento, California, 95825-0344
United States",,
"Citilabs, Inc.",605k,Private Parent,4 Companies,, 194968475,19-496-8475,, 680120330,7 (This Site) 21 (All Sites),,,,,, 1987,Computer Programming,137176063,,,, Rents,,,"{u' ft': {u')': u' 2,208'}}",,USD,,925-385-0269,, City Labs,,,,5aac9aed9f9f5d3e6a0eacd9,"2005 N St
Sacramento, California, 95811-4222
United States","[[{u'position': u'Vice President at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Larry Seiders', u'location': u'Sacramento, California, United States'}], [{u'position': u'Vice President at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Victor Siu', u'location': u'Sacramento, California, United States'}], [{u'position': u'Vice President-Global Services at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Ken Vaughn', u'location': u'Sacramento, California, United States'}], [{u'position': u'European Sales Director at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Oliver Charlesworth', u'location': u'Sacramento, California, United States'}], [{u'position': u'Director of Mameting and Partnership6 at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Chris Moe', u'location': u'Sacramento, California, United States'}], [{u'position': u'Administrative Assistant at Citilabs, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-385-0269', u'name': u'Jennfer Brans', u'location': u'Sacramento, California, United States'}]]",www.streetlytics.com
Netbrain Technologies Inc.,,Private Branch,2 Companies,, 079407514,07-940-7514, 827406724,,20 (This Site),,,,,,,Computer Programming,138030303,,,,, 827406724,Netbrain Technologies Inc.,"{u' ft': {u')': u' 9,977'}}",,,,916-437-1130,,, 827406724,,,5aac9b099f9f5d3e6a0eacda,"1750 Creekside Oaks Dr
Sacramento, California, 95833-3640
United States","[[{u'name': u'Peter Liu', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Senior Software Engineer at Netbrain Technologies Inc.', u'Main': u' 916-437-1130', u'Email': u' peter@netbraintech.com'}]]",www.netbraintech.com
